"species","sequence_id","counts"
"Cochlodesma praetenue","RGM.225805",0
"NA NA","RGM.225805",0
"Modiolula phaseolina","RGM.226240",0
"NA NA","RGM.226240",0
"Cuspidaria ","RGM.226789",0
"NA ","RGM.226789",0
"NA NA","RGM.226823.b",0
"Pseudamussium lilli","RGM.226823.b",0
"Goodallia angulata","RGM.226858",0
"NA NA","RGM.226858",0
"Crenella rhombea","RGM.226981",0
"NA NA","RGM.226981",0
"Aporrhais alata","RGM.227035",0
"NA NA","RGM.227035",0
"Jujubinus subturgidulum","RGM.227502",0
"NA NA","RGM.227502",0
"Gari nitens","RGM.228449",0
"NA NA","RGM.228449",0
"Abra ","RGM.228451",0
"NA ","RGM.228451",0
"Agathis sp.","RGM.232552",0
"Sertularia argentea-","RGM.232860",0
"Apodemus sylvaticus","RGM.235953",0
"Apodemus sylvaticus","RGM.235955",0
"Apodemus sylvaticus","RGM.235964",0
"Apodemus sylvaticus","RGM.235981",0
"Apodemus sylvaticus","RGM.235988",0
"Ditrupa strangulata","RGM.244875.0",0
"Protula protensa","RGM.244878",0
"Disporella hispida","RGM.245047",0
"Aetea SP.","RGM.245074.9",0
"Biflustra tenuis","RGM.245076.13",0
"Microporella ciliata","RGM.245078.8",0
"Crisia elongata","RGM.245090.7",0
"Conopeum commensale","RGM.245222.1",0
"Conopeum commensale","RGM.245258.2",0
"Conopeum commensale","RGM.245261.0",0
"Conopeum commensale","RGM.245301.1",0
"Biflustra SP.","RGM.245334",0
"Cribrilina SP.","RGM.245453.8",0
"Biflustra tenuis","RGM.245580.0",0
"Biflustra savartii","RGM.245629.2",0
"Celleporina hassallii","RGM.245731.0",0
"Fenestrulina malusii","RGM.245732.18",0
"Watersipora subovoidea","RGM.245732.4",0
"Biflustra savartii","RGM.245732.8",0
"Schizomavella auriculata","RGM.245735.9",0
"Schizobrachiella sanguinea","RGM.245737.13",0
"Smittoidea ophidiana","RGM.245737.35",0
"Microporella ciliata","RGM.245740.20",0
"Smittoidea ophidiana","RGM.245740.31",0
"Smittoidea ophidiana","RGM.245747.23",0
"Watersipora subovoidea","RGM.245747.4",0
"Turbicellepora SP.","RGM.245752",0
"Celleporina caminata","RGM.245753.21",0
"Fenestrulina malusii","RGM.245799.14",0
"Smittoidea SP.","RGM.245814.2",0
"Ascidia SP.","RGM.245864.4",0
"Schizobrachiella sanguinea","RGM.245878",0
"Watersipora subovoidea","RGM.245880",0
"Tricellaria occidentalis","RGM.245889",0
"Escharoides SP.","RGM.245912.8",0
"Hornera pinnata","RGM.246018.4",0
"Smittoidea SP.","RGM.246031.7",0
"Escharoides SP.","RGM.246036.13",0
"Fenestrulina SP.","RGM.246037.1",0
"Hornera SP.","RGM.246040.1",0
"Smittoidea SP.","RGM.246040.17",0
"Tricellaria SP.","RGM.246094.10",0
"Tegella SP.","RGM.246094.12",0
"Tegella SP.","RGM.246095.13",0
"Celleporella hyalina","RGM.246095.2",0
"Tricellaria SP.","RGM.246095.9",0
"Tegella SP.","RGM.246096.8",0
"Tegella SP.","RGM.246098.8",0
"Smittoidea variabilis","RGM.246143",0
"Smittoidea SP.","RGM.246244.13",0
"Turbicellepora SP.","RGM.246268.18",0
"Celleporella hyalina","RGM.246331.4",0
"Escharella immersa","RGM.246331.5",0
"Celleporella hyalina","RGM.246332.3",0
"Celleporella hyalina","RGM.246345.4",0
"Escharella immersa","RGM.246345.5",0
"Celleporella hyalina","RGM.246348.3",0
"Celleporella hyalina","RGM.246353.3",0
"Celleporella hyalina","RGM.246354.3",0
"Escharella immersa","RGM.246354.4",0
"Celleporella hyalina","RGM.246355.4",0
"Celleporella hyalina","RGM.246358.4",0
"Schizobrachiella sanguinea","RGM.246369",0
"Schizobrachiella sanguinea","RGM.246387.10",0
"Escharoides coccineus","RGM.246389.16",0
"Microporella ciliata","RGM.246396.2",0
"Microporella ciliata","RGM.246399.3",0
"Schizobrachiella sanguinea","RGM.246435.0",0
"Schizobrachiella sanguinea","RGM.246436.2",0
"Crisia denticulata","RGM.246436.5",0
"Fenestrulina malusii","RGM.246455.1",0
"Crisia elongata","RGM.246463.5",0
"Fenestrulina joannae","RGM.246481",0
"Celleporina hassallii","RGM.246482.3",0
"Schizobrachiella sanguinea","RGM.246482.6",0
"Escharoides coccineus","RGM.246485.2",0
"Crisia denticulata","RGM.246488.22",0
"Schizobrachiella sanguinea","RGM.246488.3",0
"Celleporina hassallii","RGM.246488.9",0
"Crisia SP.","RGM.246497.1",0
"Watersipora subovoidea","RGM.246557.1",0
"Biflustra tenuis","RGM.246557.25",0
"Watersipora subovoidea","RGM.246558.1",0
"Electra crustulenta","RGM.246558.11",0
"Celleporina hassallii","RGM.246558.6",0
"Watersipora subovoidea","RGM.246559.1",0
"Watersipora subovoidea","RGM.246560.1",0
"Biflustra denticulata","RGM.246643.0",0
"Electra monostachys","RGM.246659",0
