naturalis_id,species_id
RMNH.BRY.2749,18161
ZMA.BRYO.944.d,18161
RGM.246095.2,5511
RGM.246331.4,5511
RGM.246332.3,5511
RGM.246345.4,5511
RGM.246348.3,5511
RGM.246353.3,5511
RGM.246354.3,5511
RGM.246355.4,5511
RGM.246358.4,5511
RGM.246823.1,5511
RGM.246331.5,11167
RGM.246345.5,11167
RGM.246354.4,11167
RGM.915669,11167
RMNH.BRY.1839,11167
RMNH.BRY.2228,11167
ZMA.BRYO.1097,11167
RGM.246659,10412
RGM.247819.1,3154
RMNH.BRY.1757,3154
RMNH.BRY.1758,3154
RMNH.BRY.20731,3154
RMNH.BRY.2321,3154
RMNH.BRY.2785,3154
ZMA.BRYO.2079,3154
ZMA.BRYO.260,3154
RGM.260974,25695
RMNH.PISC.2569,25695
RMNH.PISC.26328,25695
RMNH.PISC.2646,25695
RMNH.PISC.27700,25695
RMNH.PISC.7045,25695
ZMA.PISC.104520,25695
ZMA.PISC.131466,25695
ZMA.PISC.131468,25695
ZMA.PISC.131470,25695
RGM.34720,14152
RMNH.COEL.162.a,14152
RMNH.COEL.21,14152
ZMA.COEL.4484,14152
ZMA.COEL.9259,14152
RGM.372316,16918
RMNH.CRUS.D.17619,16918
RMNH.CRUS.D.19056,16918
RMNH.CRUS.D.24743,16918
RMNH.CRUS.D.43504,16918
RGM.395342,13804
RGM.503292,13804
RGM.931469,13804
RGM.931493,13804
RGM.945695,13804
RMNH.MOL.14917,13804
RMNH.MOL.14921,13804
RMNH.MOL.14934,13804
RMNH.MOL.14954,13804
RGM.395695,16525
RGM.565029,16525
RMNH.MOL.12325,16525
ZMA.MOLL.109957,16525
ZMA.MOLL.109960,16525
ZMA.MOLL.109978,16525
ZMA.MOLL.111433,16525
ZMA.MOLL.420900,16525
ZMA.MOLL.420903,16525
ZMA.MOLL.420905,16525
RGM.395726,3190
RGM.406080.A,11173
RGM.69535,11173
RGM.86301,11173
RMNH.PISC.36381,11173
RMNH.PISC.8959,11173
RMNH.PISC.9236,11173
ZMA.PISC.120322,11173
ZMA.PISC.129690,11173
RGM.451282,4734
RGM.453223,4734
RMNH.RENA.2126,4734
RGM.45787,26539
RMNH.ECH.1163,26539
RMNH.ECH.1167,26539
RMNH.ECH.2308,26539
RMNH.ECH.4756,26539
RMNH.ECH.505,26539
RMNH.ECH.5356,26539
ZMA.ECH.E.5770,26539
ZMA.ECH.E.8266,26539
ZMA.ECH.E.9599,26539
RGM.457895,7028
RMNH.MOL.74438,7028
RMNH.MOL.74442,7028
RMNH.MOL.74479,7028
RMNH.MOL.74501,7028
RMNH.MOL.74512,7028
ZMA.MOLL.212903,7028
RGM.457897,10754
RMNH.MOL.89763,10754
RMNH.MOL.89769,10754
ZMA.MOLL.212804,10754
ZMA.MOLL.399052,10754
ZMA.MOLL.399063,10754
ZMA.MOLL.399080,10754
ZMA.MOLL.399099,10754
ZMA.MOLL.399102,10754
ZMA.MOLL.399115,10754
RGM.465691,651
ZMA.MOLL.108959,651
ZMA.MOLL.13049,651
ZMA.MOLL.145297,651
ZMA.MOLL.145890,651
RGM.466433,16526
