synonym_id,species_id,synonym_name,identification_reference
292,2121,Anthomyia caesia,"Macquart, 1835"
293,2121,Anthomyia pullula,"Zetterstedt, 1845"
294,2125,Anthomyia parva,"Kabos, 1975"
295,2131,Anthomyza sordidella,"Zetterstedt, 1848"
296,2142,Furcipus rectirostris,"Linnaeus, 1758"
297,2153,Heliophila bimaculata,"Panzer, 1798"
298,2155,Clisodon furcata,"Panzer, 1798"
299,2158,Anthophora vulpina,"Panzer, 1798"
300,2164,Anthrax sinuatus,"Meigen, 1804"
301,2168,Anthrenus vorax,"Waterhouse, 1883"
302,2270,Dolichogenidea candidata,"Haliday, 1834"
303,2280,Geranolichus brachychaetus,"Gaud, 1968"
304,2328,Aphanotrigonum brachypterum,"Zetterstedt, 1848"
305,2329,Aphanotrigonum annuliferum,"Zetterstedt, 1848"
306,2329,Aphanotrigonum beschovskii,"Dely-Draskovits, 1981"
307,2348,Aphelia viburnana,"Denis & Schiffermüller, 1775"
308,2351,Aphelinus longicornis,"Ferrière, 1962"
309,2392,Phaenobremia aphidivora,"Rübsaamen, 1891"
310,2452,Toxopterina vandergooti,"Börner, 1939"
311,2470,Aphodius pedellus,"De Geer, 1774"
312,2509,Aphrodes aestuarinus,"Edwards, 1908"
313,2510,Aphrodes bicinctus,"Schrank, 1776"
314,2512,Aphrodite aculeata,"Linnaeus, 1758"
315,2515,Aphrophora alpina,"Melichar, 1900"
316,2516,Aphrophora costalis,"Matsumura, 1903"
317,2530,Aphytis fuscipennis,"Howard, 1881"
318,2558,Haplotarsus incanus,"Gyllenhal, 1827"
319,2564,Lophuromyopus apodemi,"Fain, 1965"
320,2577,Apohyale prevosti,"Milne-Edwards, 1830"
321,2577,Hyale prevosti,"Milne-Edwards, 1830"
322,2579,Amphilochus neapolitanus,"Della Valle, 1893"
323,2627,Apriona japonica,"Thomson, 1878"
324,2645,Aprostocetus spartii,"Ratzeburg, 1852"
325,2650,Aprostocetus dotus,"Walker, 1839"
326,2662,Aprostocetus fageti,"Graham, 1961"
327,2668,Aprostocetus abydenus,"Walker, 1848"
328,2690,Aprostocetus arundinis,"Giraud, 1863"
329,2713,Parastichtis ypsillon,"Denis & Schiffermüller, 1775"
330,2736,Tachymarptis melba,"Linnaeus, 1758"
331,2747,Hieraaetus fasciatus,"Vieillot, 1822"
332,2750,Hieraaetus pennatus,"Gmelin, 1788"
333,2777,Araeocerus fasciculatus,"De Geer, 1775"
334,2778,Araeocerus simulatus,"Gyllenhal, 1833"
335,2780,Araeoncus humillis,"Blackwall, 1841"
336,2791,Araniella opistographa,"Kulczynski, 1905"
337,2801,Curculio crux,"Fabricius, 1777"
338,2802,Curculio pyrrhoceras,"Marsham, 1802"
339,2803,Curculio salicivorus,"Paykull, 1792"
340,2830,Arctophila fulva,"Harris, 1780"
341,2830,Arctophila superbiens,"Müller, 1776"
342,2837,Acrtoseius bispinatus,"Weis-Fogh, 1947"
343,2837,Arctoseius erlangensis,"Hirschmann, 1951"
344,2837,Arctoseius halophilus,"Willmann, 1949"
345,2837,Lasioseius cetratus,"Sellnick, 1940"
346,2838,Seiulus minutus,"Halbert, 1915"
347,2839,Leioseius denticulosus,"Hirschmann, 1962"
348,2840,Arctoseius bicuspidatus,"Willmann, 1949"
349,2840,Arctoseius bispinatus,"Weis-Fogh, 1947"
350,2840,Arctoseius limburgensis,"Nesbitt, 1954"
351,2840,Arctoseius sellnicki,"Karg, 1962"
352,2840,Laelaps semiscissus,"Berlese, 1892"
353,2840,Lasioseius semiscissus,"Berlese, 1892"
354,2841,Arctoseius pannonicus,"Willmann, 1949"
355,2841,Lasioseius venustulus,"Berlese, 1917"
356,2843,Casmerodius albus,"Linnaeus, 1758"
357,2843,Egretta alba,"Linnaeus, 1758"
358,2854,Ardis brunniventris,"Hartig, 1837"
359,2868,Carios vespertilionis,"Latreille, 1802"
360,2896,Argyra argentata,"Macquart, 1834"
361,2896,Argyra argentella,"Zetterstedt, 1843"
362,2896,Argyra divergens,"Parent, 1926"
363,2901,Argyra confinis,"Zetterstedt, 1849"
364,2935,Argyroploce dalecarliana,"Guenée, 1845"
365,2939,Arhopalus tristis,"Fabricius, 1787"
